companyCode,news_stress,entity_stress_fundamental
DEVCRED,0.2688,15.04
DEVENG,0.3671,25.67
DEVFP,0.3728,9.92
DEWHOUS,0.4766,13.34
DEWILI,0.4692,11.61
DHBIRL,0.4213,10.12
DHBTPL,0.0797,16.67
DHITPV,0.4397,10.27
DHPRLL,0.4038,12.26
DHSOLI,0.4368,10.67
DHTTM,0.3067,10.19
DHWHPL,0.3791,22.09
DIABEV,0.4948,15.58
DIASCPL,0.3931,60.0
DIGNCPL,0.4338,9.62
DIOIPL,0.5003,17.41
DKCIPL,0.4621,10.93
DKIN,0.4696,31.69
DKMGSS,0.3937,12.6
DKRSPP,0.3365,10.89
DLFULTD,0.5669,11.08
DLSGLTD,0.5671,40.37
DLTPIL,0.4923,9.49
DLYFFIPL,0.4114,24.19
DMCNS,0.4914,25.85
DNCTFPL,0.3279,11.85
DNEGPL,0.3941,12.81
DOSEPL,0.5222,46.24
DOSY,0.3218,14.37
DPBANT,0.3209,37.99
DPCOPI,0.2741,8.75
DPL,0.5365,22.61
DPMPL,0.4603,44.75
DPUODY,0.4904,19.95
DRAGRA,0.2385,8.39
DREAMF,0.5542,16.75
DREAPL,0.3943,10.58
DRISL,0.4975,86.47
DRJSMPL,0.1169,11.49
DSCOPL,0.4788,18.97
DSL,0.4358,10.47
DSP-MLIML,0.5227,10.72
DSSPPL,0.4645,60.0
DTIPLI,0.1014,16.25
DUDAFD,0.5356,18.21
DUFAIL,0.4672,17.05
DUMLPV,0.3917,16.2
DVLAK,0.4401,11.66
DVSHR,0.3087,12.61
DYCICPL,0.4308,10.48
DYPIUP,0.4256,11.11
DYROPL,0.4596,61.75
EAAGPL,0.3759,24.22
EAAPL,0.335,26.45
EATUPL,0.3502,16.51
EBLEBL,0.4481,10.16
ECEQPL,0.3926,66.47
ECFIDP,0.2826,16.44
ECIL,0.4977,13.4
ECLFL,0.3466,14.6
ECOPE,0.3178,13.33
EDAARE,0.5015,12.0
EDACEL,0.371,33.6
EDFIL,0.4267,23.62
EDFIPR,0.5608,60.0
EDFR,0.5508,25.21
EDLATDL,0.499,11.65
EDLBKL,0.6347,17.57
EDSARCL,0.5149,14.31
EEVISE,0.5133,26.26
EFIRPL,0.3664,13.31
EGCNCO,0.3103,11.06
EGOMPL,0.2017,60.0
EHIRC,0.443,6.94
EICEPL,0.4061,10.42
EIDPARI,0.253,11.74
EIPHPL,0.3988,14.05
EIPLEI2,0.2717,35.88
EJAZTC,0.4002,28.26
EKSPVL,0.0613,27.51
ELINPLM,0.2704,10.89
ELSTPL,0.4924,18.16
EMAMPL,0.2643,16.78
EMAMRL,0.2765,60.0
EMTLIPL,0.591,21.7
ENDTPL,0.3744,9.34
ENECL,0.4098,60.0
ENTNETIN,0.5079,13.62
ENVNSCPL,0.6918,24.98
EOAGEA,0.3037,12.4
EPBADPL,0.2635,8.85
EPCAPI,0.3059,60.0
EPCGPL,0.1281,60.0
EPILTD,0.4785,33.9
EPPRLI,0.3737,13.24
EQSEPL,0.533,11.5
ERIPLM,0.397,12.21
ERLHC,0.4984,60.0
ESELMIN,0.3881,12.32
ESIPRP,0.3739,11.22
ESMSSPL,0.0395,13.58
ESPL,0.5125,11.04
ESRBT,0.3119,19.38
ESSGUJA,0.3074,11.06
ESTIMX,0.2846,21.65
ESWPAL,0.5291,10.32
ESWPPL,0.498,60.0
ESWS,0.4129,11.84
ETEEVER,0.5962,10.57
ETLPL,0.3312,39.58
ETNBPL,0.3604,13.11
EUEXPL,0.3596,16.66
EUOIPL,0.4109,10.6
EUPPPL,0.3081,11.82
EVEIND,0.4309,9.71
EVFLPL,0.3823,12.95
EVGPIL,0.4533,43.32
EVLOPL,0.4217,10.29
EVPRLI,0.3482,13.35
EXAUPL,0.4884,14.03
EXEPHA,0.451,9.45
EXINLL86,0.3907,21.73
EXITSL,0.3757,13.22
EXPIMPB,0.2877,10.33
EXPOVA,0.4584,86.37
FABPRI,0.4581,14.05
FAHCPL,0.4238,30.42
FAHOFL,0.5503,11.09
FARSDTL,0.4462,17.71
FAVCSPL,0.4328,25.72
FCMSPL,0.4147,60.0
FCPHLTD,0.4484,10.44
FDMF,0.389,18.86
FEAULI,0.5218,13.23
FEDERL,0.4302,14.56
FENNERL,0.2829,10.3
FFFL,0.559,12.77
FHC,0.426,10.0
FICCL,0.4168,11.0
FIHFCL,0.3347,10.73
FIMAPR,0.3734,17.13
FINCABL,0.3734,10.52
FKAGPL,0.4026,13.8
FLSYPL,0.3289,9.59
FLURHL,0.3871,19.26
FMEL,0.5328,10.42
FMPHLTD,0.3939,13.37
FNEML,0.4431,11.9
FOACPL,0.5113,41.12
FOPL,0.4179,9.3
FORML,0.4023,8.79
FRNKTR,0.4411,34.86
FRTHPL,0.424,8.82
FRWGPL,0.4912,13.1
FSGEPL,0.4671,60.0
FSMFP,0.3907,60.0
FSSL,0.3976,11.05
FTHPL,0.4647,8.33
FTLSL,0.4924,60.0
FTTTPL,0.4842,26.57
FUPOSY,0.382,10.76
FUSTLP,0.1603,27.8
FWWBIND,0.4551,16.41
GAGAIL,0.5061,85.77
GAGEPL,0.4054,6.16
GAIFPL,0.085,13.14
GAIRLD,0.268,10.95
GAKHPL22,0.4632,11.06
GAMHPL,0.5092,10.24
GASASI,0.4518,21.79
GASHRL,0.0663,10.27
GAWHPL,0.2633,60.0
GAWLTD,0.4063,10.42
GBBHPL,0.6046,9.69
GBHHP,0.4167,17.97
GBHPEL,0.3082,11.72
GBHPLI,0.0732,11.75
GBID,0.448,39.35
GBNHPL,0.3348,10.22
GCCPH,0.4536,8.45
GCKCPWL,0.4823,14.12
GCPOSPL,0.5514,11.53
GDAM,0.3039,10.34
GDLCO,0.4009,16.7
GDRES,0.3535,13.0
GDS10105,0.4063,9.4
GDS10147,0.1995,26.61
GDS10168,0.3342,14.7
GDS10255,0.5597,29.73
GDS10282,0.5152,16.73
GDS10319,0.3318,11.45
GDS10512,0.3915,37.23
GDS10607,0.4185,11.81
GDS10673,0.2135,13.2
GDS10853,0.4701,12.04
GDS10892,0.4543,14.31
GDS10947,0.2877,9.3
GDS10971,0.4704,40.14
GDS10972,0.4577,36.68
GDS1098,0.4934,44.54
GDS10982,0.0649,10.42
GDS11011,0.4229,16.68
GDS11165,0.5405,21.75
GDS11168,0.9028,21.75
GDS1129,0.4762,38.32
GDS11355,0.4495,16.73
GDS1155,0.4024,18.09
GDS11644,0.5467,17.96
GDS11655,0.4174,10.67
GDS1177,0.3841,19.85
GDS11987,0.0405,11.26
GDS12031,0.4417,36.99
GDS12428,0.5109,34.97
GDS12461,0.2771,11.6
GDS1247,0.3912,38.35
GDS12567,0.4964,11.45
GDS12572,0.3918,60.0
GDS12605,0.4144,10.13
GDS12672,0.2221,12.3
GDS12724,0.6182,20.38
GDS12749,0.369,10.61
GDS12925,0.5119,60.0
GDS13165,0.3839,17.37
GDS13217,0.3951,15.01
GDS1344,0.4952,25.14
GDS13475,0.3627,12.18
GDS13491,0.5896,20.66
GDS1368,0.2748,12.1
GDS1386,0.456,60.0
GDS13866,0.3465,11.99
GDS13888,0.445,11.71
GDS14033,0.3922,27.01
GDS1483,0.3977,86.12
GDS149,0.5879,13.4
GDS1564,0.5859,12.95
GDS160,0.6937,87.04
GDS16042,0.4542,13.88
GDS16289,0.4636,12.47
GDS1640,0.3253,9.9
GDS16471,0.514,13.07
GDS16487,0.3871,17.23
GDS16529,0.3834,12.46
GDS16577,0.4987,10.62
GDS16581,0.481,86.26
GDS16628,0.4334,11.74
GDS16712,0.5395,15.08
GDS16759,0.4959,41.36
GDS16802,0.0398,27.17
GDS16806,0.2847,14.34
GDS16887,0.4457,9.69
GDS16911,0.6581,12.63
GDS17296,0.3289,20.74
GDS1734,0.3199,11.18
GDS17393,0.4379,60.0
GDS17499,0.0412,21.59
GDS17607,0.5009,86.37
GDS17639,0.4709,50.07
GDS17662,0.4754,87.46
GDS17752,0.3339,10.46
GDS17779,0.4237,10.49
GDS17830,0.437,16.25
