companyCode,companyName,total_facilities,cumulative,cum_pct
APFTPL,Azure Power Forty Three Private Limited,2350.0,2869901.7399999993,75.81867081467641
HFTRESPL,Hero Future Energies Private Limited,2335.0,2872236.7399999993,75.88035815187155
KATOPI,Kashi Tollway Private Limited,2315.0,2874551.7399999993,75.94151711787013
KIRUFL,IFFCO Kisan Finance Limited,2295.0,2876846.7399999993,76.00214771267221
KAGBPL,Kandhari Global Beverages Private Limited,2275.0,2879121.7399999993,76.06224993627774
RACOCI,Raymond Lifestyle Limited,2270.0,2881391.7399999993,76.12222006708413
ESELMIN,Essel Mining and Industries Limited,2253.8700000000003,2883645.6099999994,76.18176406652054
SCSIPL,Schwing Stetter India Private Limited,2251.79,2885897.3999999994,76.24125311535249
GBHHP,Bajoli Holi Hydropower Private Limited,2250.0,2888147.3999999994,76.30069487496236
COSFILM,Cosmo First Limited,2213.8400000000006,2890361.2399999993,76.3591813394489
INDINFL,IIFL Capital Services Limited,2200.0,2892561.2399999993,76.41730217106743
HIPPL,Hindustan Platinum Private Limited,2181.0,2894742.2399999993,76.47492105004928
MNYP,Manyata Promoters Private Limited,2176.0,2896918.2399999993,76.53240783623197
JPFIPL,JPFL Films Private Limited,2175.0,2899093.2399999993,76.58986820385483
CGORPPL,Candor Gurgaon One Realty Projects Private Limited,2160.0,2901253.2399999993,76.64693229308031
TBESPL,Thermax Babcock and Wilcox Energy Solutions Limited,2140.0,2903393.2399999993,76.70346801110925
MRHFL,Mahindra Rural Housing Finance Limited,2125.0,2905518.2399999993,76.7596074507408
HATAGPL,Hatsun Agro Product Limited,2120.0,2907638.2399999993,76.8156147975732
ONBRPL,One BKC Realtors Private Limited,2112.0,2909750.2399999993,76.87141079592699
ANPMF,Annapurna Finance Private Limited,2100.0000000000005,2911850.2399999993,76.92688977156288
PNBGILT,PNB Gilts Limited,2100.0,2913950.2399999993,76.98236874719876
CALTPL,CaratLane Trading Private Limited,2100.0,2916050.2399999993,77.03784772283463
INHFPL,Niwas Housing Finance Private Limited,2100.0,2918150.2399999993,77.0933266984705
GDS12567,Moon Beverages Limited,2076.0,2920226.2399999993,77.14817162867055
GRIPROL,G R Infraprojects Limited,2050.0,2922276.2399999993,77.2023296763151
METIL,Metenere Limited,2035.0,2924311.2399999993,77.25609144556223
RSPPL,Rashi Peripherals Limited,2024.0,2926335.2399999993,77.3095626106513
CHEANDP,Chemplast Sanmar Limited,2001.0,2928336.2399999993,77.36242614886434
SHINSL,Share India Securities Limited,2000.0,2930336.2399999993,77.41526326851755
FIHFCL,SMFG India Home Finance Company Limited,2000.0,2932336.2399999993,77.46810038817077
ADBFSPL,Aditya Birla Capital Limited,2000.0,2934336.2399999993,77.52093750782399
TPSALI,TP Saurya Limited,2000.0,2936336.2399999993,77.57377462747719
ACCLTD,ACC Limited,2000.0,2938336.2399999993,77.62661174713041
BALKRIS,Balkrishna Industries Limited,2000.0,2940336.2399999993,77.67944886678363
JAGRPI,Jakson Green Limited,2000.0,2942336.2399999993,77.73228598643685
CREHTP,Clean Renewable Energy Hybrid Three Private Limited,1958.0,2944294.2399999993,77.78401352657734
JKUULT,Udaipur Cement Works Limited,1947.49,2946241.7299999995,77.83546340765407
AUTMPL,Automotive Manufacturers Private Limited,1917.52,2948159.2499999995,77.8861215244928
ROHSPL,RSPL LIMITED,1901.8899999999999,2950061.1399999997,77.93636671924142
EMAMRL,EMIL Mines and Mineral Resources Limited,1900.0,2951961.1399999997,77.98656198291198
AVHCMPL,Epsilon Carbon Private Limited,1874.0,2953835.1399999997,78.03607036402704
JWIL,JWIL Infra Limited,1870.0,2955705.1399999997,78.0854730709028
SUNIRON,Sunflag Iron and Steel Company Limited,1850.0000000000002,2957555.1399999997,78.13434740658202
GLEPHAR,Glenmark Pharmaceuticals Limited,1850.0,2959405.1399999997,78.18322174226124
CRPL,Carbon Resources Private Limited,1831.0,2961236.1399999997,78.23159412530377
SASPPRL,SAEL Solar P4 Private Limited,1810.0,2963046.1399999997,78.27941171858993
WOREPL,Worldwide Realcon Private Limited,1800.0,2964846.1399999997,78.32696512627783
OSILTD,Offshore Infrastructures Limited,1800.0,2966646.1399999997,78.37451853396573
CREWPL,Chennai Radha Engineering Works Private Limited,1796.0,2968442.1399999997,78.4219662674143
MCSPL,Shakambhari Ispat and Power Limited,1791.49,2970233.63,78.46929485315808
KLJRLTD,KLJ Resources Limited,1781.0,2972014.63,78.51634630820928
GIAMAP,Giridhan Metal Private Limited,1775.0,2973789.63,78.56323925190149
AARDRUL,Aarti Drugs Limited,1768.0,2975557.63,78.60994726567495
NATBCCL,NBCC (India) Limited,1750.0,2977307.63,78.6561797453715
BERPAIN,Berger Paints India Limited,1750.0,2979057.63,78.70241222506807
MMDFPL,Milky Mist Dairy Food Limited,1746.9999999999998,2980804.63,78.74856544908515
DKCIPL,Dorf-Ketal Chemicals India Limited,1741.6,2982546.23,78.79457601287918
SUCLDL,Sundaram-Clayton Limited,1735.24,2984281.47,78.8404185546327
GDS3108,C. J. Shah and Co.,1732.0,2986013.47,78.88617550025239
AERLEE,Agile Real Estate Private Limited,1728.3400000000001,2987741.81,78.9318357539431
UHDINDLTD,Thyssenkrupp Uhde India Private Limited,1719.0,2989460.81,78.97724925828504
SUPREME,The Supreme Industries Limited,1710.9,2991171.71,79.02244877229239
SSFLTD,Spandana Sphoorty Financial Limited,1700.0000000000002,2992871.71,79.06736032399763
IRBPVTBLD,IRB Infrastructure Developers Limited,1700.0,2994571.71,79.11227187570286
SEWLHL,SEW LSY Highways Limited,1700.0,2996271.71,79.15718342740809
